#####START_HYDROGRAPHS_KED_01_00000
     Time    Rain  Rainperv    Qtop      Qbot      Qper      Qimp    Qinto_OS   Qout_OS  Stage
    945.0    1.12    0.00    22.727    27.347     1.033     0.050    28.430    28.430     0.000
    960.0    1.12    0.00    19.141    23.458     0.778     0.050    24.287    24.287     0.000
    975.0    1.12    0.00    15.994    19.975     0.597     0.050    20.622    20.622     0.000
    990.0    4.48    1.98    13.639    17.004     0.530     0.199    17.733    17.733     0.000
   1005.0    4.56    2.06    11.708    14.574     0.482     0.202    15.258    15.258     0.000
   1020.0    1.36    0.00     9.812    12.488     0.380     0.060    12.928    12.928     0.000
   1035.0    1.36    0.00     8.248    10.646     0.303     0.060    11.010    11.010     0.000
   1050.0    1.04    0.00     6.935     9.063     0.245     0.046     9.354     9.354     0.000
   1065.0    0.28    0.00     5.821     7.709     0.200     0.012     7.921     7.921     0.000
   1080.0    0.28    0.00     4.926     6.564     0.164     0.012     6.740     6.740     0.000
   1095.0    0.28    0.00     4.192     5.607     0.136     0.012     5.756     5.756     0.000
   1110.0    0.28    0.00     3.587     4.810     0.114     0.012     4.937     4.937     0.000
   1125.0    0.28    0.00     3.086     4.144     0.096     0.012     4.253     4.253     0.000
   1140.0    0.28    0.00     2.668     3.587     0.081     0.012     3.680     3.680     0.000
   1155.0    0.28    0.00     2.318     3.117     0.070     0.012     3.199     3.199     0.000
   1170.0    0.28    0.00     2.024     2.722     0.060     0.012     2.794     2.794     0.000
   1185.0    0.28    0.00     1.776     2.386     0.051     0.012     2.450     2.450     0.000
   1200.0    0.28    0.00     1.564     2.101     0.045     0.012     2.158     2.158     0.000
   1215.0    0.28    0.00     1.384     1.857     0.039     0.012     1.908     1.908     0.000
   1230.0    0.28    0.00     1.230     1.647     0.034     0.012     1.694     1.694     0.000
   1245.0    0.28    0.00     1.097     1.467     0.030     0.012     1.509     1.509     0.000
   1260.0    0.28    0.00     0.982     1.311     0.026     0.012     1.350     1.350     0.000
   1275.0    0.16    0.00     0.876     1.175     0.023     0.007     1.205     1.205     0.000
   1290.0    0.00    0.00     0.778     1.053     0.021     0.000     1.074     1.074     0.000
   1305.0    0.00    0.00     0.696     0.945     0.018     0.000     0.963     0.963     0.000
   1320.0    0.00    0.00     0.624     0.850     0.016     0.000     0.866     0.866     0.000
   1335.0    0.00    0.00     0.561     0.765     0.015     0.000     0.780     0.780     0.000
   1350.0    0.00    0.00     0.504     0.690     0.013     0.000     0.703     0.703     0.000
   1365.0    0.00    0.00     0.454     0.624     0.012     0.000     0.635     0.635     0.000
   1380.0    0.00    0.00     0.410     0.564     0.011     0.000     0.575     0.575     0.000
   1395.0    0.00    0.00     0.370     0.511     0.010     0.000     0.521     0.521     0.000
   1410.0    0.00    0.00     0.335     0.464     0.009     0.000     0.473     0.473     0.000
   1425.0    0.00    0.00     0.304     0.422     0.008     0.000     0.430     0.430     0.000
   1440.0    0.00    0.00     0.276     0.384     0.007     0.000     0.391     0.391     0.000
   1455.0    0.00    0.00     0.251     0.350     0.007     0.000     0.356     0.356     0.000
#####END_HYDROGRAPHS_CTC_01_00000
